route_id,town,status,score_composed,score_route,wall_s,attempt,ts
2416,Town12,Completed,100.0,100,115,1,2026-06-17 04:27:28
2509,Town12,Completed,100.0,100,120,1,2026-06-17 04:29:34
2513,Town12,Completed,100.0,100,130,1,2026-06-17 04:32:06
2534,Town12,Completed,100.0,100,115,1,2026-06-17 04:34:06
2539,Town12,Completed,100.0,100,130,1,2026-06-17 04:36:22
2554,Town12,Completed,100.0,100,125,1,2026-06-17 04:38:32
2606,Town12,Completed,100.0,100,130,1,2026-06-17 04:40:48
2643,Town12,Completed,100.0,100,160,1,2026-06-17 04:43:34
2664,Town12,Completed,100.0,100,135,1,2026-06-17 04:45:54
2668,Town12,Completed,100.0,100,125,1,2026-06-17 04:48:05
2709,Town12,Completed,100.0,100,115,1,2026-06-17 04:50:05
2715,Town12,Completed,100.0,100,125,1,2026-06-17 04:52:16
2790,Town12,Completed,96.980453,100,115,1,2026-06-17 04:54:16
2802,Town12,Completed,100.0,100,160,1,2026-06-17 04:57:02
2844,Town12,Completed,100.0,100,120,1,2026-06-17 04:59:07
2847,Town12,Completed,100.0,100,120,1,2026-06-17 05:01:13
2881,Town12,Completed,100.0,100,130,1,2026-06-17 05:03:28
2903,Town12,Completed,100.0,100,125,1,2026-06-17 05:05:56
2913,Town12,Completed,60.0,100,120,1,2026-06-17 05:08:01
2943,Town12,Completed,100.0,100,190,1,2026-06-17 05:11:17
2989,Town12,Completed,100.0,100,175,1,2026-06-17 05:14:17
3048,Town12,Completed,100.0,100,120,1,2026-06-17 05:16:23
3072,Town12,Completed,100.0,100,120,1,2026-06-17 05:18:29
3074,Town12,Completed,100.0,100,120,1,2026-06-17 05:20:34
3080,Town12,Completed,100.0,100,115,1,2026-06-17 05:22:35
3086,Town12,Completed,100.0,100,120,1,2026-06-17 05:24:40
3090,Town12,Completed,100.0,100,125,1,2026-06-17 05:26:51
3093,Town12,Completed,100.0,100,130,1,2026-06-17 05:29:06
3099,Town12,Completed,100.0,100,175,1,2026-06-17 05:32:07
3100,Town12,Completed,100.0,100,135,1,2026-06-17 05:34:27
3144,Town12,Completed,70.0,100,155,1,2026-06-17 05:37:08
3178,Town12,Completed,100.0,100,120,1,2026-06-17 05:39:13
3184,Town12,Completed,100.0,100,125,1,2026-06-17 05:41:41
3189,Town12,Completed,100.0,100,120,1,2026-06-17 05:43:46
3248,Town13,Completed,100.0,100,180,1,2026-06-17 05:46:52
3255,Town13,Completed,100.0,100,195,1,2026-06-17 05:50:12
3307,Town13,Completed,100.0,100,170,1,2026-06-17 05:53:08
3364,Town13,Completed,100.0,100,155,1,2026-06-17 05:55:49
3373,Town13,Completed,100.0,100,170,1,2026-06-17 05:58:44
3378,Town13,Completed,100.0,100,160,1,2026-06-17 06:01:30
3380,Town13,Completed,100.0,100,160,1,2026-06-17 06:04:16
3410,Town13,Completed,100.0,100,200,1,2026-06-17 06:07:41
3436,Town13,Completed,100.0,100,175,1,2026-06-17 06:10:42
3457,Town13,Failed_-_TickRuntime,36.39,36.39,451,1,2026-06-17 06:18:18
3464,Town13,Completed,100.0,100,180,1,2026-06-17 06:21:24
3472,Town13,Completed,100.0,100,155,1,2026-06-17 06:24:04
3476,Town13,Failed_-_TickRuntime,45.14,45.14,351,1,2026-06-17 06:30:00
3482,Town13,Failed_-_TickRuntime,33.5,33.5,401,1,2026-06-17 06:37:03
3514,Town13,Completed,100.0,100,175,1,2026-06-17 06:40:03
3520,Town13,Completed,100.0,100,175,1,2026-06-17 06:43:04
3540,Town13,Completed,100.0,100,170,1,2026-06-17 06:45:59
3561,Town13,Completed,100.0,100,160,1,2026-06-17 06:48:45
3564,Town13,Failed_-_TickRuntime,14.008621,51.01,356,1,2026-06-17 06:54:46
3572,Town13,Completed,100.0,100,175,1,2026-06-17 06:57:47
3575,Town13,Completed,100.0,100,150,1,2026-06-17 07:00:22
3666,Town13,Completed,100.0,100,155,1,2026-06-17 07:03:03
3670,Town13,Completed,100.0,100,155,1,2026-06-17 07:05:43
3676,Town13,Completed,100.0,100,155,1,2026-06-17 07:08:24
3697,Town13,Completed,65.0,100,160,1,2026-06-17 07:11:09
3708,Town13,Completed,100.0,100,165,1,2026-06-17 07:14:00
3712,Town13,Completed,100.0,100,165,1,2026-06-17 07:16:50
3717,Town13,Completed,100.0,100,175,1,2026-06-17 07:19:51
3731,Town13,Completed,100.0,100,180,1,2026-06-17 07:23:13
3737,Town13,Completed,100.0,100,205,1,2026-06-17 07:26:44
3749,Town13,Failed_-_TickRuntime,62.86,62.86,361,1,2026-06-17 07:32:50
3785,Town13,Completed,100.0,100,165,1,2026-06-17 07:35:40
3800,Town13,Completed,100.0,100,155,1,2026-06-17 07:38:21
3813,Town13,Completed,100.0,100,150,1,2026-06-17 07:40:56
3865,Town13,Completed,70.0,100,160,1,2026-06-17 07:43:42
3869,Town13,Completed,70.0,100,160,1,2026-06-17 07:46:28
3876,Town13,Completed,100.0,100,215,1,2026-06-17 07:50:08
3890,Town13,Completed,100.0,100,155,1,2026-06-17 07:52:49
3904,Town13,Completed,100.0,100,155,1,2026-06-17 07:55:29
3905,Town13,Completed,100.0,100,165,1,2026-06-17 07:58:20
3936,Town12,Failed_-_TickRuntime,25.332,42.22,406,1,2026-06-17 08:05:11
4183,Town12,Completed,100.0,100,115,1,2026-06-17 08:07:11
4468,Town12,Completed,100.0,100,115,1,2026-06-17 08:09:12
4669,Town12,Completed,100.0,100,115,1,2026-06-17 08:11:29
4683,Town12,Completed,100.0,100,115,1,2026-06-17 08:13:29
4937,Town12,Completed,100.0,100,110,1,2026-06-17 08:15:25
10857,Town12,Completed,100.0,100,145,1,2026-06-17 08:17:55
11381,Town12,Completed,100.0,100,160,1,2026-06-17 08:20:41
11715,Town12,Completed,100.0,100,105,1,2026-06-17 08:22:31
11755,Town12,Completed,100.0,100,105,1,2026-06-17 08:24:22
14194,Town12,Completed,100.0,100,115,1,2026-06-17 08:26:22
14842,Town12,Completed,100.0,100,115,1,2026-06-17 08:28:23
14862,Town12,Completed,100.0,100,130,1,2026-06-17 08:30:38
14909,Town12,Completed,100.0,100,105,1,2026-06-17 08:32:29
17563,Town12,Completed,100.0,100,110,1,2026-06-17 08:34:24
17569,Town12,Completed,100.0,100,110,1,2026-06-17 08:36:19
17598,Town12,Completed,100.0,100,115,1,2026-06-17 08:38:20
17635,Town12,Completed,100.0,100,115,1,2026-06-17 08:40:20
17655,Town12,Completed,100.0,100,115,1,2026-06-17 08:42:38
17752,Town12,Completed,100.0,100,160,1,2026-06-17 08:45:23
18252,Town12,Completed,100.0,100,120,1,2026-06-17 08:47:29
18305,Town12,Completed,100.0,100,115,1,2026-06-17 08:49:29
18311,Town12,Completed,100.0,100,115,1,2026-06-17 08:51:30
18356,Town12,Completed,100.0,100,115,1,2026-06-17 08:53:30
20920,Town12,Completed,100.0,100,125,1,2026-06-17 08:55:40
23658,Town12,Completed,100.0,100,115,1,2026-06-17 08:57:41
23659,Town12,Completed,100.0,100,105,1,2026-06-17 08:59:31
23670,Town13,Completed,100.0,100,170,1,2026-06-17 09:02:27
23687,Town12,Completed,100.0,100,120,1,2026-06-17 09:04:33
23695,Town13,Completed,100.0,100,135,1,2026-06-17 09:06:53
23700,Town12,Completed,100.0,100,110,1,2026-06-17 09:08:49
23708,Town12,Completed,100.0,100,100,1,2026-06-17 09:10:34
23771,Town12,Completed,100.0,100,100,1,2026-06-17 09:12:19
23901,Town13,Completed,100.0,100,155,1,2026-06-17 09:15:17
23910,Town12,Failed_-_Agent_got_blocked,17.68,27.2,135,1,2026-06-17 09:17:37
23918,Town13,Completed,100.0,100,150,1,2026-06-17 09:20:13
23930,Town12,Completed,100.0,100,105,1,2026-06-17 09:22:03
24041,Town13,Completed,100.0,100,150,1,2026-06-17 09:24:39
24071,Town13,Completed,100.0,100,140,1,2026-06-17 09:27:04
24078,Town12,Completed,100.0,100,110,1,2026-06-17 09:29:00
24092,Town13,Completed,100.0,100,145,1,2026-06-17 09:31:30
24098,Town12,Completed,65.0,100,100,1,2026-06-17 09:33:16
24206,Town03,INFRA_FAIL,,,,2,2026-06-17 09:41:42
24211,Town01,Completed,100.0,100,35,1,2026-06-17 09:42:23
24224,Town02,Completed,100.0,100,25,2,2026-06-17 09:47:01
24240,Town10HD,Completed,100.0,100,35,2,2026-06-17 09:51:50
24252,Town11,Completed,100.0,100,50,1,2026-06-17 09:52:45
24258,Town07,Completed,100.0,100,30,1,2026-06-17 09:53:20
24294,Town02,Completed,100.0,100,35,2,2026-06-17 09:58:04
24330,Town10HD,Completed,100.0,100,40,2,2026-06-17 10:02:58
24333,Town15,Completed,100.0,100,35,1,2026-06-17 10:03:38
24340,Town10HD,Completed,100.0,100,30,1,2026-06-17 10:04:13
24367,Town06,Completed,100.0,100,40,1,2026-06-17 10:04:58
24757,Town06,Completed,60.0,100,90,2,2026-06-17 10:10:37
24759,Town05,Completed,100.0,100,25,2,2026-06-17 10:15:21
24781,Town01,Completed,100.0,100,40,1,2026-06-17 10:16:06
24784,Town02,Completed,100.0,100,35,2,2026-06-17 10:20:55
24785,Town04,Completed,100.0,100,35,1,2026-06-17 10:21:35
24795,Town04,Completed,100.0,100,30,2,2026-06-17 10:26:19
24816,Town03,INFRA_FAIL,,,,2,2026-06-17 10:34:35
24841,Town01,Completed,100.0,100,30,1,2026-06-17 10:35:11
25300,Town04,Completed,100.0,100,30,2,2026-06-17 10:39:49
25318,Town05,Completed,100.0,100,30,2,2026-06-17 10:44:28
25358,Town06,Completed,100.0,100,30,2,2026-06-17 10:49:07
25378,Town03,INFRA_FAIL,,,,2,2026-06-17 10:57:24
25381,Town05,Completed,100.0,100,35,1,2026-06-17 10:58:04
25383,Town15,Completed,100.0,100,35,2,2026-06-17 11:02:53
25424,Town11,Completed,100.0,100,45,1,2026-06-17 11:03:43
25439,Town15,Completed,100.0,100,35,1,2026-06-17 11:04:23
25845,Town15,Completed,100.0,100,35,1,2026-06-17 11:05:03
25854,Town03,INFRA_FAIL,,,,2,2026-06-17 11:13:25
25857,Town05,Completed,100.0,100,35,1,2026-06-17 11:14:05
25863,Town07,Completed,100.0,100,40,2,2026-06-17 11:19:19
25865,Town11,Completed,100.0,100,50,2,2026-06-17 11:24:23
25896,Town03,INFRA_FAIL,,,,2,2026-06-17 11:32:35
25928,Town11,Completed,100.0,100,45,1,2026-06-17 11:33:25
25951,Town04,Completed,100.0,100,30,1,2026-06-17 11:34:00
25955,Town05,Completed,100.0,100,25,2,2026-06-17 11:38:34
25968,Town07,Completed,100.0,100,20,2,2026-06-17 11:43:03
25975,Town07,Completed,100.0,100,45,2,2026-06-17 11:47:56
26393,Town03,INFRA_FAIL,,,,2,2026-06-17 11:56:13
26394,Town06,Completed,95.89636,100,30,1,2026-06-17 11:56:49
26396,Town05,Completed,100.0,100,25,2,2026-06-17 12:01:27
26401,Town06,Completed,100.0,100,30,2,2026-06-17 12:06:06
26405,Town15,Completed,100.0,100,30,2,2026-06-17 12:10:49
26406,Town04,Completed,100.0,100,40,1,2026-06-17 12:11:34
26408,Town06,Completed,97.301156,100,25,2,2026-06-17 12:16:08
26418,Town11,Completed,100.0,100,45,2,2026-06-17 12:21:07
26435,Town03,INFRA_FAIL,,,,2,2026-06-17 12:29:29
26456,Town03,INFRA_FAIL,,,,2,2026-06-17 12:37:45
26458,Town07,Completed,100.0,100,25,1,2026-06-17 12:38:16
26944,Town04,Completed,100.0,100,40,1,2026-06-17 12:39:01
26950,Town03,INFRA_FAIL,,,,2,2026-06-17 12:47:13
26956,Town05,Completed,100.0,100,25,1,2026-06-17 12:47:43
26966,Town05,INFRA_FAIL,,,,2,2026-06-17 12:55:55
26990,Town03,INFRA_FAIL,,,,2,2026-06-17 13:04:07
27018,Town15,Failed_-_TickRuntime,30.222,50.37,195,1,2026-06-17 13:07:27
27494,Town04,Completed,100.0,100,30,1,2026-06-17 13:08:03
27506,Town05,Completed,100.0,100,35,2,2026-06-17 13:12:51
27515,Town03,INFRA_FAIL,,,,2,2026-06-17 13:21:08
27529,Town04,Completed,100.0,100,30,1,2026-06-17 13:21:44
27532,Town11,Completed,100.0,100,55,2,2026-06-17 13:26:52
27582,Town11,Completed,100.0,100,55,1,2026-06-17 13:27:53
28035,Town01,Completed,100.0,100,40,1,2026-06-17 13:28:38
28048,Town02,Completed,100.0,100,35,2,2026-06-17 13:33:22
28087,Town04,Completed,60.0,100,25,2,2026-06-17 13:37:55
28093,Town04,Completed,100.0,100,50,2,2026-06-17 13:43:10
28099,Town04,Failed_-_TickRuntime,32.514,54.19,115,2,2026-06-17 13:49:19
28111,Town04,Completed,100.0,100,25,2,2026-06-17 13:53:53
28154,Town10HD,Completed,100.0,100,35,2,2026-06-17 13:58:41
28198,Town15,Completed,100.0,100,35,1,2026-06-17 13:59:22
28210,Town12,Completed,100.0,100,105,1,2026-06-17 14:01:12
28219,Town12,Completed,100.0,100,110,1,2026-06-17 14:03:07
28229,Town12,Completed,100.0,100,110,1,2026-06-17 14:05:03
28241,Town12,Completed,100.0,100,110,1,2026-06-17 14:06:58
28243,Town12,Completed,100.0,100,110,1,2026-06-17 14:08:54
28330,Town12,Completed,100.0,100,100,1,2026-06-17 14:10:39
